num_words,num_unique_words,num_stopwords,num_links,num_unique_domains,num_email_addresses,num_spelling_errors,num_urgent_keywords,label
104,82,32,0,0,0,4,0,0
188,105,42,3,2,0,14,0,0
32,31,9,0,0,0,1,1,0
140,89,55,0,0,0,18,1,0
87,60,33,0,0,0,3,0,0
34,30,8,0,0,1,1,0,0
235,171,57,0,0,0,15,1,0
103,77,25,0,0,1,8,0,0
93,66,24,0,0,0,19,0,0
32,31,7,0,0,0,6,0,0
470,237,148,0,0,6,29,2,0
115,75,49,0,0,0,1,1,0
652,293,203,1,1,16,67,1,0
59,44,27,0,0,0,1,1,0
87,66,25,0,0,0,1,0,1
32,25,7,0,0,0,5,0,0
347,193,149,0,0,0,8,1,1
220,147,64,2,1,0,17,0,0
1052,340,374,4,1,18,73,0,0
919,330,343,0,0,0,67,0,0
135,99,44,0,0,0,14,0,0
269,151,57,0,0,26,46,0,0
39,36,8,0,0,0,7,0,1
56,45,24,0,0,0,9,1,0
337,208,94,0,0,0,27,0,1
18,16,10,0,0,0,0,0,0
36,31,1,0,0,0,6,0,0
278,162,60,1,1,1,28,1,0
122,89,38,0,0,1,12,0,0
233,132,71,0,0,9,18,1,0
515,252,194,3,3,2,35,0,1
51,45,13,0,0,0,0,0,1
87,66,40,0,0,0,2,0,0
185,110,47,0,0,8,29,0,0
52,52,0,0,0,0,7,0,1
33,25,8,0,0,0,0,0,1
77,56,26,0,0,0,1,0,0
292,162,85,1,1,3,12,0,0
90,70,26,0,0,1,8,0,0
1961,663,603,0,0,0,109,1,0
106,76,39,0,0,2,7,0,0
63,50,26,0,0,0,1,0,0
315,195,61,0,0,29,71,0,0
131,84,35,0,0,15,24,0,0
1334,492,413,4,1,3,43,1,0
719,250,199,0,0,0,85,1,0
147,84,30,0,0,0,12,1,1
1248,411,181,78,4,1,275,0,0
221,133,80,0,0,0,16,0,0
294,164,113,0,0,5,19,0,0
257,135,82,0,0,0,34,0,0
67,54,25,0,0,0,4,0,0
152,98,57,0,0,0,8,0,0
814,374,271,0,0,0,31,0,0
255,133,59,12,3,0,3,1,0
91,50,17,0,0,0,21,0,0
43,40,10,0,0,0,8,0,0
286,153,86,3,2,4,24,0,0
62,49,28,0,0,0,0,0,0
56,44,19,0,0,1,1,1,0
1220,454,357,0,0,0,83,1,0
843,372,260,0,0,0,23,1,0
81,60,24,0,0,0,8,0,0
1036,236,327,0,0,0,97,0,0
45,28,7,0,0,4,2,0,0
47,37,11,1,1,0,1,0,0
53,45,23,0,0,0,1,0,0
261,138,86,0,0,0,23,0,0
175,118,55,0,0,0,9,0,0
120,89,30,3,3,1,21,1,0
84,70,13,0,0,0,11,1,1
1436,629,470,0,0,0,149,2,1
225,137,61,4,4,1,12,0,1
425,186,122,0,0,1,58,1,0
275,159,97,0,0,0,8,0,0
35,20,10,0,0,0,4,0,0
5,5,1,0,0,0,1,0,1
20,19,5,0,0,0,0,0,0
125,77,35,0,0,0,9,0,0
72,56,25,0,0,0,8,0,0
96,72,35,0,0,0,1,0,0
45,42,12,0,0,1,4,0,0
406,199,146,0,0,0,17,0,0
486,213,166,0,0,3,35,0,0
314,158,115,0,0,2,27,1,0
682,270,190,0,0,10,62,2,0
90,51,10,0,0,0,25,0,0
100,74,37,0,0,0,10,0,0
53,38,6,1,1,3,9,0,0
43,40,13,0,0,0,1,0,0
716,305,170,29,4,2,19,1,0
1240,497,446,0,0,7,44,2,0
453,170,151,0,0,1,31,0,0
222,106,67,0,0,9,23,0,0
280,127,64,1,1,11,18,0,0
363,180,143,0,0,0,13,1,0
209,117,68,0,0,0,9,0,0
128,100,36,1,1,0,13,0,0
191,121,77,1,1,0,6,1,0
582,317,176,0,0,0,43,0,0
180,106,27,0,0,1,27,0,0
74,61,14,0,0,0,8,0,0
168,138,53,0,0,0,25,1,1
257,126,62,0,0,0,31,1,0
31,26,9,0,0,0,0,0,0
207,95,40,4,2,12,29,0,0
184,114,79,0,0,0,7,1,0
132,85,35,4,2,3,16,0,1
76,70,22,0,0,1,3,0,0
119,90,25,0,0,0,10,0,0
121,85,35,0,0,2,8,0,0
47,42,5,0,0,0,8,0,0
16,16,9,0,0,0,0,0,0
166,63,13,0,0,0,22,0,0
114,73,40,0,0,0,3,0,0
608,322,157,11,9,6,50,0,0
27,25,7,0,0,0,1,0,0
228,128,76,0,0,0,10,0,0
25,22,7,0,0,0,1,0,1
99,76,1,0,0,0,61,0,1
72,56,22,0,0,0,5,0,0
337,179,107,2,2,1,7,1,1
252,139,48,3,2,0,17,0,0
228,90,22,0,0,0,17,0,1
1710,631,542,12,6,0,64,3,0
